District ID,District Name,School ID,School Name,School Year,Percentage of Kindergarteners with PreK Experience,Number of K students
17,Bristol School District,14,Ellen P. Hubbell School,2010-11,97.5,79
17,Bristol School District,5,Greene-Hills School,2010-11,78.3,60
17,Bristol School District,19,Ivy Drive School,2010-11,91.3,69
17,Bristol School District,6,John J. Jennings School,2010-11,100,68
17,Bristol School District,17,Mountain View School,2010-11,75.9,58
17,Bristol School District,11,South Side School,2010-11,82.5,80
17,Bristol School District,12,Stafford School,2010-11,54.3,81
18,Brookfield School District,3,Center Elementary School,2010-11,82.7,162
19,Brooklyn School District,1,Brooklyn Elementary School,2010-11,89.7,97
21,Canaan School District,1,Lee H. Kellogg School,2010-11,90.9,11
22,Canterbury School District,2,Canterbury Elementary School,2010-11,84.8,46
23,Canton School District,2,Cherry Brook Primary School,2010-11,94.1,135
241,Capitol Region Education Council,1,East Hartford/Glastonbury Magnet School,2010-11,67.4,43
241,Capitol Region Education Council,4,International Magnet School for Global Citizenship,2010-11,95,60
241,Capitol Region Education Council,31,Montessori Magnet School,2010-11,95.7,46
241,Capitol Region Education Council,3,Reggio Magnet School of the Arts,2010-11,71.9,57
241,Capitol Region Education Council,2,University of Hartford Multiple Intelligences Magnet School,2010-11,95.1,61
24,Chaplin School District,2,Chaplin Elementary School,2010-11,70,20
287,Charter School for Young Children on Asylum Hill,1,Charter School for Young Children on Asylum Hill  Inc.,2010-11,100,45
25,Cheshire School District,2,Darcey School,2010-11,91.9,258
26,Chester School District,1,Chester Elementary School,2010-11,97,33
27,Clinton School District,3,Lewin G. Joel Jr. School,2010-11,89.7,185
28,Colchester School District,4,Colchester Elementary School,2010-11,89.1,201
29,Colebrook School District,1,Colebrook Consolidated School,2010-11,85.7,14
30,Columbia School District,1,Horace W. Porter School,2010-11,88.5,61
243,Cooperative Educational Services,1,Six-Six Magnet School,2010-11,95.6,45
31,Cornwall School District,1,Cornwall Consolidated School,2010-11,80,10
32,Coventry School District,2,Coventry Grammar School,2010-11,80,125
33,Cromwell School District,2,Edna C. Stevens School,2010-11,96.2,159
34,Danbury School District,14,Ellsworth Avenue School,2010-11,76.3,59
34,Danbury School District,11,Great Plain School,2010-11,72,50
34,Danbury School District,2,Hayestown Avenue School,2010-11,83.1,71
34,Danbury School District,13,King Street Primary School,2010-11,95.2,105
34,Danbury School District,5,Mill Ridge Primary School,2010-11,59.6,109
34,Danbury School District,6,Morris Street School,2010-11,83.9,56
34,Danbury School District,8,Park Avenue School,2010-11,77.2,79
34,Danbury School District,15,Pembroke School,2010-11,83.9,62
34,Danbury School District,12,Shelter Rock School,2010-11,72.2,54
34,Danbury School District,10,South Street School,2010-11,62.3,61
34,Danbury School District,16,Stadley Rough School,2010-11,72.9,70
34,Danbury School District,19,Western CT Academy of International Studies,2010-11,95.5,66
35,Darien School District,2,Hindley Elementary School,2010-11,98.9,93
35,Darien School District,7,Holmes Elementary School,2010-11,93.1,72
35,Darien School District,13,Ox Ridge Elementary School,2010-11,98.7,77
35,Darien School District,5,Royle Elementary School,2010-11,100,65
35,Darien School District,6,Tokeneke Elementary School,2010-11,84.9,73
36,Deep River School District,1,Deep River Elementary School,2010-11,93.8,48
37,Derby School District,6,Bradley School,2010-11,73.5,68
37,Derby School District,4,Irving School,2010-11,52.4,63
40,East Granby School District,1,Allgrove School,2010-11,81.5,54
41,East Haddam School District,1,East Haddam Elementary School,2010-11,87.7,81
42,East Hampton School District,1,Memorial School,2010-11,86,136
43,East Hartford School District,9,Anna E. Norris School,2010-11,90.2,41
43,East Hartford School District,6,Dr. Franklin H. Mayberry School,2010-11,59.1,66
43,East Hartford School District,22,Dr. John A. Langford School,2010-11,63.6,55
43,East Hartford School District,10,Dr. Thomas S. O'Connell School,2010-11,90.2,51
43,East Hartford School District,20,Governor William Pitkin School,2010-11,75.3,77
43,East Hartford School District,5,Hockanum School,2010-11,75.9,54
43,East Hartford School District,4,Joseph O. Goodwin School,2010-11,65,60
43,East Hartford School District,18,Robert J. O'Brien School,2010-11,65,60
43,East Hartford School District,12,Silver Lane School,2010-11,64.6,65
44,East Haven School District,14,D. C. Moore School,2010-11,70.8,65
44,East Haven School District,1,Deer Run School,2010-11,67,97
44,East Haven School District,18,Overbrook Elementary School,2010-11,67.2,58
45,East Lyme School District,1,Flanders School,2010-11,98.4,63
45,East Lyme School District,4,Lillie B. Haynes School,2010-11,89.2,65
45,East Lyme School District,2,Niantic Center School,2010-11,88.4,43
47,East Windsor School District,1,Broad Brook Elementary School,2010-11,97.8,92
39,Eastford School District,1,Eastford Elementary School,2010-11,82.6,23
46,Easton School District,1,Samuel Staples Elementary School,2010-11,96.3,108
48,Ellington School District,1,Center School,2010-11,78.2,78
48,Ellington School District,2,Crystal Lake School,2010-11,75,44
48,Ellington School District,6,Windermere School,2010-11,74,77
289,Elm City College Preparatory School,1,Elm City College Preparatory School,2010-11,81,63
49,Enfield School District,13,Edgar H. Parkman School,2010-11,68.8,48
49,Enfield School District,16,Eli Whitney School,2010-11,74.1,54
49,Enfield School District,2,Enfield Street School,2010-11,63.3,49
49,Enfield School District,12,Harriet Beecher Stowe School,2010-11,56.3,32
49,Enfield School District,4,Hazardville Memorial School,2010-11,95.8,48
49,Enfield School District,18,Henry Barnard School,2010-11,50.7,75
49,Enfield School District,11,Nathan Hale School,2010-11,62.5,32
49,Enfield School District,15,Prudence Crandall School,2010-11,67.3,52
49,Enfield School District,17,Thomas G. Alcorn School,2010-11,45.8,48
50,Essex School District,1,Essex Elementary School,2010-11,96.4,56
51,Fairfield School District,2,Burr Elementary School,2010-11,83.3,66
51,Fairfield School District,1,Dwight Elementary School,2010-11,100,48
51,Fairfield School District,4,Holland Hill School,2010-11,87,54
51,Fairfield School District,17,Jennings School,2010-11,100,44
51,Fairfield School District,6,McKinley School,2010-11,78.9,95
51,Fairfield School District,7,Mill Hill School,2010-11,94.4,72
51,Fairfield School District,16,North Stratfield School,2010-11,100,76
51,Fairfield School District,18,Osborn Hill School,2010-11,97.8,89
51,Fairfield School District,12,Riverfield School,2010-11,100,67
51,Fairfield School District,13,Sherman School,2010-11,100,64
51,Fairfield School District,14,Stratfield School,2010-11,97.9,94
52,Farmington School District,4,East Farms School,2010-11,98.9,88
52,Farmington School District,2,Noah Wallace School,2010-11,85.2,61
52,Farmington School District,1,Union School,2010-11,62.5,56
52,Farmington School District,3,West District School,2010-11,91,67
53,Franklin School District,1,Franklin Elementary School,2010-11,100,20
54,Glastonbury School District,2,Buttonball Lane School,2010-11,89.2,74
54,Glastonbury School District,3,Eastbury School,2010-11,100,33
54,Glastonbury School District,4,Hebron Avenue School,2010-11,84.8,66
54,Glastonbury School District,6,Hopewell School,2010-11,98.4,63
54,Glastonbury School District,7,Naubuc School,2010-11,85.1,74
54,Glastonbury School District,9,Nayaug Elementary School,2010-11,98.9,95
56,Granby School District,1,Frank M. Kearns Primary School,2010-11,93.6,110
57,Greenwich School District,2,Cos Cob School,2010-11,98.6,70
57,Greenwich School District,4,Glenville School,2010-11,88.9,81
57,Greenwich School District,5,Hamilton Avenue School,2010-11,64.6,65
57,Greenwich School District,13,International School At Dundee,2010-11,100,53
57,Greenwich School District,3,Julian Curtiss School,2010-11,88.9,54
57,Greenwich School District,6,New Lebanon School,2010-11,79.5,39
57,Greenwich School District,7,North Mianus School,2010-11,100,67
57,Greenwich School District,8,North Street School,2010-11,100,73
57,Greenwich School District,9,Old Greenwich School,2010-11,95.5,66
57,Greenwich School District,11,Parkway School,2010-11,97.6,41
57,Greenwich School District,10,Riverside School,2010-11,100,86
58,Griswold School District,3,Griswold Elementary School,2010-11,90.2,123
59,Groton School District,20,Catherine Kolnaski Magnet School,2010-11,74,100
59,Groton School District,18,Charles Barnum School,2010-11,73.6,72
59,Groton School District,3,Claude Chester School,2010-11,79.7,59
59,Groton School District,17,Mary Morrisson School,2010-11,67.7,62
59,Groton School District,19,Northeast Academy Elementary School,2010-11,91.2,57
59,Groton School District,12,Pleasant Valley School,2010-11,80.4,56
59,Groton School District,1,S. B. Butler School,2010-11,97.3,37
60,Guilford School District,6,A. W. Cox School,2010-11,97.2,71
60,Guilford School District,4,Calvin Leete School,2010-11,95.2,62
60,Guilford School District,2,Guilford Lakes School,2010-11,66.7,66
60,Guilford School District,3,Melissa Jones School,2010-11,93.9,66
62,Hamden School District,12,Bear Path School,2010-11,91.7,72
62,Hamden School District,2,Church Street School,2010-11,54.7,53
62,Hamden School District,3,Dunbar Hill School,2010-11,82.9,41
62,Hamden School District,4,Helen Street School,2010-11,87.1,62
62,Hamden School District,11,Ridge Hill School,2010-11,83,47
62,Hamden School District,1,Shepherd Glen School,2010-11,66.7,66
62,Hamden School District,10,Spring Glen School,2010-11,100,70
62,Hamden School District,14,West Woods School,2010-11,92.9,70
63,Hampton School District,1,Hampton Elementary School,2010-11,100,13
64,Hartford School District,1,Americas Choice at SAND,2010-11,80,60
64,Hartford School District,37,Annie Fisher Montessori Magnet School,2010-11,96.2,53
64,Hartford School District,7,Asian Studies School at Dwight/Belizzi School,2010-11,81.4,59
64,Hartford School District,4,Batchelder School,2010-11,69.8,53
64,Hartford School District,35,Breakthrough II,2010-11,81.8,22
64,Hartford School District,33,Breakthrough Magnet School,2010-11,97.1,34
64,Hartford School District,6,Burns Latino Studies Academy,2010-11,79,81
64,Hartford School District,23,Burr School,2010-11,66.3,98
64,Hartford School District,24,Clark School,2010-11,87.5,56
64,Hartford School District,28,Dr. Ramon E. Betances Early Reading Lab School,2010-11,54.7,86
64,Hartford School District,9,Hooker School,2010-11,94.1,17
64,Hartford School District,36,IB Global Communications Academy,2010-11,36.4,55
64,Hartford School District,10,Kennelly School,2010-11,80.5,87
64,Hartford School District,11,Kinsella Magnet School,2010-11,97,67
64,Hartford School District,8,M. D. Fox ComPACT School,2010-11,50.7,138
64,Hartford School District,16,M. L. King School,2010-11,38.9,36
64,Hartford School District,12,McDonough School,2010-11,78.7,61
64,Hartford School District,19,Milner Core Knowledge School,2010-11,72.7,55
64,Hartford School District,32,Moylan School,2010-11,91.3,80
64,Hartford School District,14,Naylor School,2010-11,66.7,75
64,Hartford School District,20,Noah Webster Micro Society School,2010-11,80,65
64,Hartford School District,15,Parkville Community School,2010-11,78,91
64,Hartford School District,30,Sanchez School,2010-11,77.5,80
64,Hartford School District,17,Sarah J. Rawson Elementary School,2010-11,86.5,74
64,Hartford School District,26,Simpson-Waverly School,2010-11,70.8,48
64,Hartford School District,25,STEM Magnet School at Annie-Fisher School,2010-11,94.4,36
64,Hartford School District,21,West Middle School,2010-11,64.6,99
64,Hartford School District,22,Wish School,2010-11,75.5,53
65,Hartland School District,1,Hartland School,2010-11,77.3,22
67,Hebron School District,2,Gilead Hill School,2010-11,93.8,112
286,Highville Charter School District,1,Highville Charter School,2010-11,88.2,34
264,Integrated Day Charter School District,1,Integrated Day Charter School,2010-11,97.1,34
261,Jumoke Academy District,1,Jumoke Academy,2010-11,100,43
68,Kent School District,1,Kent Center School,2010-11,87.9,33
69,Killingly School District,1,Killingly Central School,2010-11,84.1,88
69,Killingly School District,3,Killingly Memorial School,2010-11,66.4,110
245,Learn,1,Multicultural Magnet School,2010-11,93.8,97
245,Learn,2,The Friendship School,2010-11,92.3,168
71,Lebanon School District,1,Lebanon Elementary School,2010-11,95.7,70
72,Ledyard School District,2,Gales Ferry School,2010-11,81.3,64
72,Ledyard School District,4,Gallup Hill School,2010-11,63.9,36
72,Ledyard School District,1,Ledyard Center School,2010-11,69.4,62
73,Lisbon School District,1,Lisbon Central School,2010-11,87.8,41
74,Litchfield School District,2,Center School,2010-11,75,76
76,Madison School District,1,J. Milton Jeffrey Elementary School,2010-11,96.3,135
77,Manchester School District,1,Bowers School,2010-11,86.3,73
77,Manchester School District,3,Buckley School,2010-11,25,64
77,Manchester School District,4,Highland Park School,2010-11,71.7,46
77,Manchester School District,6,Keeney School,2010-11,82.7,52
77,Manchester School District,16,Martin School,2010-11,80.5,41
77,Manchester School District,9,Nathan Hale School,2010-11,39.6,48
77,Manchester School District,10,Robertson School,2010-11,63,108
77,Manchester School District,12,Verplanck School,2010-11,52.2,67
77,Manchester School District,13,Waddell School,2010-11,50.8,59
77,Manchester School District,14,Washington School,2010-11,70.2,57
78,Mansfield School District,4,Annie E. Vinton School,2010-11,95.6,45
78,Mansfield School District,2,Dorothy C. Goodwin School,2010-11,80.6,36
78,Mansfield School District,5,Southeast Elementary School,2010-11,69.2,52
79,Marlborough School District,1,Elmer Thienes-Mary Hall Elementary School,2010-11,91.8,85
80,Meriden School District,1,Benjamin Franklin School,2010-11,82.3,62
80,Meriden School District,11,Casimir Pulaski School,2010-11,71.8,124
80,Meriden School District,3,Hanover School,2010-11,86.3,51
80,Meriden School District,4,Israel Putnam School,2010-11,79,100
80,Meriden School District,5,John Barry School,2010-11,87.3,79
80,Meriden School District,7,Nathan Hale School,2010-11,60.4,96
80,Meriden School District,8,Roger Sherman School,2010-11,73.2,71
80,Meriden School District,10,Thomas Hooker School,2010-11,85.5,83
83,Middletown School District,2,Bielefield School,2010-11,81.5,65
83,Middletown School District,5,Farm Hill School,2010-11,82,61
83,Middletown School District,13,Lawrence School,2010-11,76.3,59
83,Middletown School District,9,MacDonough School,2010-11,73.2,41
83,Middletown School District,12,Moody School,2010-11,83.6,55
83,Middletown School District,11,Snow School,2010-11,93.3,30
83,Middletown School District,1,Spencer School,2010-11,87.7,57
83,Middletown School District,14,Wesley School,2010-11,92.7,41
84,Milford School District,19,J. F. Kennedy School,2010-11,80.1,136
84,Milford School District,16,Live Oaks School,2010-11,85.7,98
84,Milford School District,17,Mathewson School,2010-11,79.5,132
84,Milford School District,8,Orange Avenue School,2010-11,79.5,112
85,Monroe School District,5,Fawn Hollow Elementary School,2010-11,88.5,78
85,Monroe School District,1,Monroe Elementary School,2010-11,100,46
85,Monroe School District,3,Stepney Elementary School,2010-11,96,75
86,Montville School District,7,Dr. Charles E. Murphy School,2010-11,76.4,55
86,Montville School District,1,Mohegan School,2010-11,58.2,67
86,Montville School District,5,Oakdale School,2010-11,77.6,58
88,Naugatuck School District,8,Andrew Avenue School,2010-11,77.3,44
88,Naugatuck School District,1,Central Avenue School,2010-11,67.4,46
88,Naugatuck School District,5,Hop Brook Elementary School,2010-11,57.8,64
88,Naugatuck School District,3,Maple Hill School,2010-11,82.5,63
88,Naugatuck School District,6,Salem School,2010-11,68.3,41
88,Naugatuck School District,7,Western School,2010-11,79.3,58
280,"New Beginnings Inc., Family Academy District",1,"New Beginnings Inc., Family Academy",2010-11,78,41
89,New Britain School District,3,Chamberlain School,2010-11,73.7,133
89,New Britain School District,11,DiLoreto Magnet School,2010-11,89,100
89,New Britain School District,5,Gaffney School,2010-11,78.1,64
89,New Britain School District,6,Holmes School,2010-11,74.3,70
89,New Britain School District,7,Jefferson School,2010-11,74.3,74
89,New Britain School District,8,Lincoln School,2010-11,65.8,117
89,New Britain School District,9,Northend School,2010-11,74.5,51
89,New Britain School District,12,Smalley Academy,2010-11,85.9,71
89,New Britain School District,13,Smith School,2010-11,72.2,97
89,New Britain School District,15,Vance School,2010-11,91.6,95
90,New Canaan School District,4,East School,2010-11,98.9,91
90,New Canaan School District,2,South School,2010-11,98,101
90,New Canaan School District,3,West School,2010-11,98.9,92
91,New Fairfield School District,1,Consolidated School,2010-11,94.3,140
92,New Hartford School District,1,Bakerville Consolidated School,2010-11,81.6,38
92,New Hartford School District,2,New Hartford Elementary School,2010-11,88.6,35
93,New Haven School District,15,Augusta Lewis Troup School,2010-11,55.2,58
93,New Haven School District,2,Barnard Environmental Magnet School,2010-11,89.1,46
93,New Haven School District,3,Beecher School,2010-11,70.7,41
93,New Haven School District,18,Benjamin Jepson Magnet School,2010-11,50.9,57
93,New Haven School District,43,Bishop Woods School,2010-11,80.8,52
93,New Haven School District,48,Celentano School,2010-11,58.1,43
93,New Haven School District,41,Christopher Columbus Academy,2010-11,82.7,75
93,New Haven School District,42,Clemente Leadership Academy,2010-11,80,50
93,New Haven School District,6,Clinton Avenue School,2010-11,75,68
93,New Haven School District,31,Conte/West Hills Magnet School,2010-11,84,75
93,New Haven School District,9,Davis 21st Century Magnet Elementary School,2010-11,87.8,49
93,New Haven School District,46,East Rock Community Magnet School,2010-11,82,50
93,New Haven School District,12,Edgewood School,2010-11,80.4,51
93,New Haven School District,16,Fair Haven School,2010-11,63.3,49
93,New Haven School District,7,Hill Central Music Academy,2010-11,63.3,49
93,New Haven School District,13,John C. Daniels,2010-11,72.9,48
93,New Haven School District,8,John S. Martinez School,2010-11,73.5,49
93,New Haven School District,21,Katherine Brennan/Clarence Rogers School,2010-11,80.8,73
93,New Haven School District,30,King/Robinson Magnet School,2010-11,94.2,52
93,New Haven School District,20,Lincoln-Bassett School,2010-11,62.8,43
93,New Haven School District,19,Mauro-Sheridan Magnet School,2010-11,78,50
93,New Haven School District,49,Microsociety Magnet School,2010-11,54.8,31
93,New Haven School District,14,Nathan Hale School,2010-11,80.4,51
93,New Haven School District,10,Ross/Woodward School,2010-11,70.8,48
93,New Haven School District,28,Strong School KG,2010-11,51.3,265
93,New Haven School District,29,Truman School,2010-11,76.5,51
93,New Haven School District,32,Wexler/Grant Community School,2010-11,72.5,51
93,New Haven School District,38,Worthington Hooker School,2010-11,96.2,52
95,New London School District,2,Harbor School,2010-11,71.8,39
95,New London School District,3,Jennings School,2010-11,70.7,75
95,New London School District,9,Nathan Hale School,2010-11,66.7,36
95,New London School District,5,Shoreline Academy,2010-11,78.3,23
95,New London School District,8,Winthrop School,2010-11,95.8,24
96,New Milford School District,5,Hill And Plain School,2010-11,73,111
96,New Milford School District,7,John Pettibone School,2010-11,84.9,106
96,New Milford School District,8,Northville Elementary School,2010-11,85.5,110
94,Newington School District,6,Anna Reynolds School,2010-11,92.1,76
94,Newington School District,2,Elizabeth Green School,2010-11,95.8,48
94,Newington School District,8,John Paterson School,2010-11,88.4,86
94,Newington School District,7,Ruth Chaffee School,2010-11,87.3,71
97,Newtown School District,1,Hawley Elementary School,2010-11,94.4,72
97,Newtown School District,4,Head O'Meadow Elementary School,2010-11,98.3,58
97,Newtown School District,3,Middle Gate Elementary School,2010-11,93.7,95
97,Newtown School District,2,Sandy Hook Elementary School,2010-11,98.9,89
98,Norfolk School District,1,Botelle Elementary School,2010-11,86.7,15
99,North Branford School District,4,Jerome Harrison School,2010-11,93.7,143
100,North Canaan School District,1,North Canaan Elementary School,2010-11,65.8,38
101,North Haven School District,8,Clintonville Elementary School,2010-11,94.5,55
101,North Haven School District,7,Green Acres Elementary School,2010-11,98.1,53
101,North Haven School District,2,Montowese Elementary School,2010-11,87.8,49
101,North Haven School District,3,Ridge Road Elementary School,2010-11,93.4,61
102,North Stonington School District,1,North Stonington Elementary School,2010-11,83.3,60
103,Norwalk School District,2,Brookside Elementary School,2010-11,79.7,69
103,Norwalk School District,3,Columbus Magnet School,2010-11,95.3,43
103,Norwalk School District,4,Cranbury Elementary School,2010-11,93.9,82
103,Norwalk School District,20,Fox Run Elementary School,2010-11,94.3,88
103,Norwalk School District,7,Jefferson Magnet School,2010-11,69.6,102
103,Norwalk School District,8,Kendall Elementary School,2010-11,87.5,88
103,Norwalk School District,22,Marvin Elementary School,2010-11,78.3,83
103,Norwalk School District,21,Naramake Elementary School,2010-11,92.6,81
103,Norwalk School District,13,Rowayton School,2010-11,94.2,86
103,Norwalk School District,23,Silvermine Elementary School,2010-11,94.6,74
103,Norwalk School District,14,Tracey School,2010-11,66.7,72
103,Norwalk School District,24,Wolfpit School,2010-11,85,60
104,Norwich School District,14,John B. Stanton School,2010-11,88.9,36
104,Norwich School District,20,John M. Moriarty School,2010-11,78.7,89
104,Norwich School District,8,Samuel Huntington School,2010-11,93.2,59
104,Norwich School District,17,Thomas W. Mahan School,2010-11,77.3,44
104,Norwich School District,19,Uncas School,2010-11,39.6,48
104,Norwich School District,18,Veterans' Memorial School,2010-11,78,59
104,Norwich School District,15,Wequonnoc School,2010-11,84.8,33
106,Old Saybrook School District,2,Kathleen E. Goodwin School,2010-11,95.1,82
107,Orange School District,2,Mary L. Tracy School,2010-11,98.7,150
108,Oxford School District,3,Quaker Farms School,2010-11,94.3,157
109,Plainfield School District,1,Moosup Elementary School,2010-11,81.6,76
109,Plainfield School District,4,Shepard Hill Elementary School,2010-11,76.1,88
110,Plainville School District,4,Frank T. Wheeler School,2010-11,85.7,35
110,Plainville School District,2,Linden Street School,2010-11,85.9,71
110,Plainville School District,5,Louis Toffolon School,2010-11,89.8,49
111,Plymouth School District,4,Harry S. Fisher Elementary School,2010-11,85.5,55
111,Plymouth School District,2,Plymouth Center School,2010-11,89.1,46
112,Pomfret School District,1,Pomfret Community School,2010-11,78.7,47
113,Portland School District,2,Valley View School,2010-11,96.4,112
114,Preston School District,4,Preston Veterans' Memorial School,2010-11,38.7,31
116,Putnam School District,3,Putnam Elementary School,2010-11,48.4,95
117,Redding School District,1,Redding Elementary School,2010-11,93.8,97
206,Regional School District 06,1,Goshen Center School,2010-11,87,23
206,Regional School District 06,2,James Morris School,2010-11,100,22
206,Regional School District 06,3,Warren Elementary School,2010-11,100,17
210,Regional School District 10,3,Harwinton Consolidated School,2010-11,88.9,81
210,Regional School District 10,2,Lake Garda Elementary School,2010-11,90.1,91
212,Regional School District 12,2,Booth Free School,2010-11,92.9,14
212,Regional School District 12,1,The Burnham School,2010-11,100,12
212,Regional School District 12,4,Washington Primary School,2010-11,95,20
213,Regional School District 13,1,Frederick Brewster School,2010-11,84.1,69
213,Regional School District 13,5,John Lyman School,2010-11,96.4,56
214,Regional School District 14,1,Bethlehem Elementary School,2010-11,85.8,120
215,Regional School District 15,4,Gainfield Elementary School,2010-11,91.7,60
215,Regional School District 15,7,Long Meadow Elementary School,2010-11,92.3,78
215,Regional School District 15,6,Middlebury Elementary School,2010-11,93.8,65
215,Regional School District 15,5,Pomperaug School,2010-11,98.2,57
216,Regional School District 16,3,Algonquin School,2010-11,100,119
216,Regional School District 16,1,Laurel Ledge School,2010-11,95.6,68
217,Regional School District 17,2,Burr District Elementary School,2010-11,81.8,55
217,Regional School District 17,1,Haddam Elementary School,2010-11,94.3,53
217,Regional School District 17,3,Killingworth Elementary School,2010-11,92.8,83
218,Regional School District 18,1,Lyme Consolidated School,2010-11,85,20
218,Regional School District 18,2,Mile Creek School,2010-11,97.5,81
118,Ridgefield School District,8,Barlow Mountain Elementary School,2010-11,68.7,67
118,Ridgefield School District,6,Branchville Elementary School,2010-11,75,76
118,Ridgefield School District,4,Farmingville Elementary School,2010-11,85.1,47
118,Ridgefield School District,3,Ridgebury Elementary School,2010-11,98.1,54
118,Ridgefield School District,5,Scotland Elementary School,2010-11,96.5,57
118,Ridgefield School District,2,Veterans Park Elementary School,2010-11,94.1,51
119,Rocky Hill School District,2,Dr. Oran A. Moser School,2010-11,75,28
119,Rocky Hill School District,4,Myrtle H. Stevens School,2010-11,79.1,43
119,Rocky Hill School District,5,West Hill School,2010-11,95.3,85
121,Salem School District,1,Salem Elementary School,2010-11,52.9,51
122,Salisbury School District,1,Salisbury Central School,2010-11,80,25
123,Scotland School District,1,Scotland Elementary School,2010-11,100,20
124,Seymour School District,3,Anna L. Lopresti School,2010-11,75.9,58
124,Seymour School District,1,Bungay School,2010-11,65.3,72
124,Seymour School District,4,Paul Chatfield School,2010-11,60,45
125,Sharon School District,1,Sharon Center School,2010-11,78.3,23
126,Shelton School District,10,Booth Hill School,2010-11,93.8,65
126,Shelton School District,5,Elizabeth Shelton School,2010-11,90.8,76
126,Shelton School District,8,Long Hill School,2010-11,80.6,62
126,Shelton School District,9,Mohegan School,2010-11,85.9,64
126,Shelton School District,6,Sunnyside School,2010-11,76,50
127,Sherman School District,1,Sherman School,2010-11,75.9,29
270,Side By Side Community School District,1,Side By Side Community School,2010-11,56.5,23
128,Simsbury School District,1,Central School,2010-11,82,50
128,Simsbury School District,6,Latimer Lane School,2010-11,96.2,53
128,Simsbury School District,7,Squadron Line School,2010-11,93.2,74
128,Simsbury School District,3,Tariffville School,2010-11,87.1,31
128,Simsbury School District,4,Tootin' Hills School,2010-11,100,34
129,Somers School District,4,Somers Elementary School,2010-11,96,100
132,South Windsor School District,7,Eli Terry School,2010-11,42,50
